Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,BookingDateTime,Booking_Hour,Day_Name,Day_Type,Month_Name,Data_Validity_Flag,Driver_Rating_Clean,Customer_Rating_Clean,Distance_Validity,Revenue_Validity,Peak_Flag
6/14/2024,4:24:12 PM,"""CNR9070334""",Completed,"""CID6680340""",Auto,Udyog Bhawan,Dwarka Sector 21,7.7,18.9,null,null,null,null,null,null,181,19.84,4.2,4.9,Cash,6/14/2024 4:24:00 PM,16,Friday,Weekday,June,Invalid,4.2,4.9,Invalid,Valid,Non-Peak
9/18/2024,8:09:38 AM,"""CNR9551927""",No Driver Found,"""CID7568143""",Auto,Vidhan Sabha,AIIMS,null,null,null,null,null,null,null,null,0,0,null,null,null,9/18/2024 8:09:00 AM,8,Wednesday,Weekday,September,Invalid,0,0,Invalid,Valid,Peak
6/25/2024,10:44:15 PM,"""CNR4386945""",Cancelled by Driver,"""CID5543520""",eBike,Patel Chowk,Kherki Daula Toll,4.6,null,null,null,1,Personal & Car related issues,null,null,0,0,null,null,null,6/25/2024 10:44:00 PM,22,Tuesday,Weekday,June,Valid,0,0,Valid,Valid,Non-Peak
9/11/2024,7:29:39 PM,"""CNR2987763""",Completed,"""CID2669710""",Go Mini,Malviya Nagar,Ghitorni Village,12.2,28.2,null,null,null,null,null,null,394,21.44,4.1,4.7,UPI,9/11/2024 7:29:00 PM,19,Wednesday,Weekday,September,Invalid,4.1,4.7,Invalid,Valid,Peak
10/18/2024,6:28:53 PM,"""CNR8962232""",Completed,"""CID1789354""",Go Mini,Madipur,GTB Nagar,14,30.9,null,null,null,null,null,null,836,39.55,4.7,4.4,UPI,10/18/2024 6:28:00 PM,18,Friday,Weekday,October,Invalid,4.7,4.4,Invalid,Valid,Peak
6/7/2024,3:05:35 PM,"""CNR2390352""",Completed,"""CID5432215""",Auto,Jama Masjid,Khan Market,8.5,36.9,null,null,null,null,null,null,410,34.76,4,4.9,Uber Wallet,6/7/2024 3:05:00 PM,15,Friday,Weekday,June,Invalid,4,4.9,Invalid,Valid,Non-Peak
7/1/2024,10:51:16 AM,"""CNR3221338""",Completed,"""CID2581698""",Premier Sedan,IGI Airport,Madipur,5.6,27.5,null,null,null,null,null,null,401,21.97,4.9,4.3,UPI,7/1/2024 10:51:00 AM,10,Monday,Weekday,July,Invalid,4.9,4.3,Invalid,Valid,Peak
12/15/2024,3:08:25 PM,"""CNR6739317""",Cancelled by Driver,"""CID8682675""",Go Sedan,Vinobapuri,GTB Nagar,6,null,null,null,1,Customer related issue,null,null,0,0,null,null,null,12/15/2024 3:08:00 PM,15,Sunday,Weekend,December,Valid,0,0,Valid,Valid,Non-Peak
11/24/2024,9:07:10 AM,"""CNR6126048""",Cancelled by Customer,"""CID1060329""",eBike,Kashmere Gate,Anand Vihar,12.4,null,1,Driver is not moving towards pickup location,null,null,null,null,0,0,null,null,null,11/24/2024 9:07:00 AM,9,Sunday,Weekend,November,Valid,0,0,Valid,Valid,Peak
5/24/2024,7:53:57 PM,"""CNR9465840""",Cancelled by Driver,"""CID9046501""",eBike,Pitampura,Rajiv Nagar,10.3,null,null,null,1,Customer related issue,null,null,0,0,null,null,null,5/24/2024 7:53:00 PM,19,Friday,Weekday,May,Valid,0,0,Valid,Valid,Peak
12/14/2024,9:27:04 PM,"""CNR9843229""",Completed,"""CID4929303""",Go Sedan,Punjabi Bagh,Mansarovar Park,6.1,33.7,null,null,null,null,null,null,264,13.64,3.8,4.7,Uber Wallet,12/14/2024 9:27:00 PM,21,Saturday,Weekend,December,Invalid,3.8,4.7,Invalid,Valid,Peak
7/29/2024,6:28:22 AM,"""CNR7911434""",Completed,"""CID8465004""",Auto,Greater Noida,Botanical Garden,7,21.3,null,null,null,null,null,null,183,4.5,5,4.2,UPI,7/29/2024 6:28:00 AM,6,Monday,Weekday,July,Invalid,5,4.2,Invalid,Valid,Non-Peak
2/23/2024,11:02:45 AM,"""CNR6178330""",Completed,"""CID7719678""",Go Mini,Tis Hazari,IMT Manesar,10.4,25.1,null,null,null,null,null,null,713,38.03,3.7,3.6,UPI,2/23/2024 11:02:00 AM,11,Friday,Weekday,February,Invalid,3.7,3.6,Invalid,Valid,Peak
3/9/2024,8:14:24 PM,"""CNR5309981""",Completed,"""CID3870048""",Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,null,null,null,null,null,null,113,14.53,4.6,4.9,UPI,3/9/2024 8:14:00 PM,20,Saturday,Weekend,March,Invalid,4.6,4.9,Invalid,Valid,Peak
8/28/2024,4:30:14 PM,"""CNR2978950""",Completed,"""CID2977484""",Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,null,null,null,null,null,null,767,7.39,3.8,4.6,Debit Card,8/28/2024 4:30:00 PM,16,Wednesday,Weekday,August,Invalid,3.8,4.6,Invalid,Valid,Non-Peak
8/8/2024,6:34:38 AM,"""CNR2806943""",Completed,"""CID7550481""",Uber XL,Okhla,Barakhamba Road,5.1,20.7,null,null,null,null,null,null,495,10.23,3.8,4.2,Credit Card,8/8/2024 6:34:00 AM,6,Thursday,Weekday,August,Invalid,3.8,4.2,Invalid,Valid,Non-Peak
1/26/2024,9:44:00 AM,"""CNR3614535""",Cancelled by Driver,"""CID2507102""",Auto,Cyber Hub,Saket,11.5,null,null,null,1,Personal & Car related issues,null,null,0,0,null,null,null,1/26/2024 9:44:00 AM,9,Friday,Weekday,January,Valid,0,0,Valid,Valid,Peak
4/12/2024,7:42:35 PM,"""CNR4499383""",No Driver Found,"""CID5717521""",Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,null,null,null,null,null,null,null,null,0,0,null,null,null,4/12/2024 7:42:00 PM,19,Friday,Weekday,April,Invalid,0,0,Invalid,Valid,Peak
4/5/2024,6:57:12 PM,"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,3.1,28.2,null,null,null,null,1,Vehicle Breakdown,304,1.98,null,null,UPI,4/5/2024 6:57:00 PM,18,Friday,Weekday,April,Valid,0,0,Valid,Valid,Peak
11/3/2024,12:24:59 PM,"""CNR8779845""",Completed,"""CID7444351""",Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,null,null,null,null,null,null,2847,39.21,3.1,4.6,Debit Card,11/3/2024 12:24:00 PM,12,Sunday,Weekend,November,Invalid,3.1,4.6,Invalid,Valid,Non-Peak
5/18/2024,5:37:52 PM,"""CNR2178654""",Cancelled by Driver,"""CID3631860""",Go Mini,Qutub Minar,Vishwavidyalaya,9.2,null,null,null,1,More than permitted people in there,null,null,0,0,null,null,null,5/18/2024 5:37:00 PM,17,Saturday,Weekend,May,Valid,0,0,Valid,Valid,Peak
11/15/2024,5:53:55 AM,"""CNR3871541""",Completed,"""CID9849259""",Go Mini,Mundka,Preet Vihar,8.9,41,null,null,null,null,null,null,282,8.36,3.8,4.4,UPI,11/15/2024 5:53:00 AM,5,Friday,Weekday,November,Invalid,3.8,4.4,Invalid,Valid,Non-Peak
2/4/2024,6:08:04 PM,"""CNR2877692""",Completed,"""CID5901711""",Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,null,null,null,null,null,null,656,6.39,5,4.9,Uber Wallet,2/4/2024 6:08:00 PM,18,Sunday,Weekend,February,Invalid,5,4.9,Invalid,Valid,Peak
5/29/2024,2:05:10 PM,"""CNR9603633""",Completed,"""CID5856503""",Auto,Tis Hazari,Shahdara,2,19.4,null,null,null,null,null,null,134,46.66,3.8,4.4,Credit Card,5/29/2024 2:05:00 PM,14,Wednesday,Weekday,May,Invalid,3.8,4.4,Invalid,Valid,Non-Peak
7/13/2024,7:53:15 PM,"""CNR8087051""",Cancelled by Driver,"""CID9716528""",Go Sedan,New Colony,Ghitorni Village,5.4,null,null,null,1,Customer related issue,null,null,0,0,null,null,null,7/13/2024 7:53:00 PM,19,Saturday,Weekend,July,Valid,0,0,Valid,Valid,Peak
6/7/2024,7:21:10 PM,"""CNR7823292""",Completed,"""CID9377721""",Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,null,null,null,null,null,null,470,27.07,3.7,4.2,Cash,6/7/2024 7:21:00 PM,19,Friday,Weekday,June,Invalid,3.7,4.2,Invalid,Valid,Peak
5/16/2024,1:04:31 PM,"""CNR9918895""",Completed,"""CID9520433""",Auto,New Delhi Railway Station,Noida Film City,6.7,20.5,null,null,null,null,null,null,187,12.16,4.9,4.3,UPI,5/16/2024 1:04:00 PM,13,Thursday,Weekday,May,Invalid,4.9,4.3,Invalid,Valid,Non-Peak
10/2/2024,3:10:35 AM,"""CNR7401001""",Completed,"""CID9958715""",Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30,null,null,null,null,null,null,186,10.28,4.4,4.6,UPI,10/2/2024 3:10:00 AM,3,Wednesday,Weekday,October,Invalid,4.4,4.6,Invalid,Valid,Non-Peak
2/26/2024,3:43:16 PM,"""CNR2631310""",Completed,"""CID4355670""",eBike,Seelampur,Janakpuri,10,35.8,null,null,null,null,null,null,70,44.42,4.1,4.4,UPI,2/26/2024 3:43:00 PM,15,Monday,Weekday,February,Invalid,4.1,4.4,Invalid,Valid,Non-Peak
9/10/2024,1:02:42 PM,"""CNR4218487""",Cancelled by Customer,"""CID3037053""",Bike,Noida Extension,Udyog Vihar Phase 4,11,null,1,Driver is not moving towards pickup location,null,null,null,null,0,0,null,null,null,9/10/2024 1:02:00 PM,13,Tuesday,Weekday,September,Valid,0,0,Valid,Valid,Non-Peak
9/12/2024,9:14:57 AM,"""CNR5333099""",Cancelled by Driver,"""CID5112050""",Auto,Adarsh Nagar,Civil Lines Gurgaon,8,null,null,null,1,Personal & Car related issues,null,null,0,0,null,null,null,9/12/2024 9:14:00 AM,9,Thursday,Weekday,September,Valid,0,0,Valid,Valid,Peak
1/24/2024,10:47:57 AM,"""CNR5969954""",Completed,"""CID5558118""",Auto,Vinobapuri,Karkarduma,12.8,18.7,null,null,null,null,null,null,273,34.64,4.5,4.6,Uber Wallet,1/24/2024 10:47:00 AM,10,Wednesday,Weekday,January,Invalid,4.5,4.6,Invalid,Valid,Peak
2/12/2024,7:42:39 PM,"""CNR4130953""",Incomplete,"""CID3196782""",Premier Sedan,Panipat,Tagore Garden,6.4,10.5,null,null,null,null,1,Other Issue,966,18.3,null,null,Debit Card,2/12/2024 7:42:00 PM,19,Monday,Weekday,February,Valid,0,0,Valid,Valid,Peak
10/2/2024,7:17:00 PM,"""CNR6693125""",Cancelled by Driver,"""CID7364449""",Auto,Karol Bagh,Tagore Garden,5.4,null,null,null,1,More than permitted people in there,null,null,0,0,null,null,null,10/2/2024 7:17:00 PM,19,Wednesday,Weekday,October,Valid,0,0,Valid,Valid,Peak
4/1/2024,9:14:19 PM,"""CNR9572979""",Completed,"""CID3474992""",Go Sedan,Sultanpur,Noida Extension,12.2,42.3,null,null,null,null,null,null,251,20.91,4.2,3.6,Debit Card,4/1/2024 9:14:00 PM,21,Monday,Weekday,April,Invalid,4.2,3.6,Invalid,Valid,Peak
9/18/2024,9:06:36 PM,"""CNR6444364""",Cancelled by Driver,"""CID8262635""",Go Mini,Moti Nagar,Anand Vihar ISBT,6.6,null,null,null,1,More than permitted people in there,null,null,0,0,null,null,null,9/18/2024 9:06:00 PM,21,Wednesday,Weekday,September,Valid,0,0,Valid,Valid,Peak
8/2/2024,7:17:07 AM,"""CNR4862806""",Cancelled by Customer,"""CID7875150""",Auto,Shastri Park,Anand Vihar ISBT,11.3,null,1,Driver asked to cancel,null,null,null,null,0,0,null,null,null,8/2/2024 7:17:00 AM,7,Friday,Weekday,August,Valid,0,0,Valid,Valid,Non-Peak
9/30/2024,1:10:50 PM,"""CNR4674790""",Incomplete,"""CID4795905""",Bike,Dilshad Garden,Nehru Place,2.3,29.7,null,null,null,null,1,Vehicle Breakdown,453,19.24,null,null,Debit Card,9/30/2024 1:10:00 PM,13,Monday,Weekday,September,Valid,0,0,Valid,Valid,Non-Peak
6/16/2024,12:44:47 AM,"""CNR6866217""",Completed,"""CID7798304""",Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,null,null,null,null,null,null,246,8.13,4.2,4.5,UPI,6/16/2024 12:44:00 AM,0,Sunday,Weekend,June,Invalid,4.2,4.5,Invalid,Valid,Non-Peak
9/18/2024,9:33:55 AM,"""CNR4932611""",Completed,"""CID8795963""",Auto,Aya Nagar,Karkarduma,8.8,25.2,null,null,null,null,null,null,237,2.96,3.9,3.3,UPI,9/18/2024 9:33:00 AM,9,Wednesday,Weekday,September,Invalid,3.9,3.3,Invalid,Valid,Peak
5/4/2024,9:26:59 PM,"""CNR1572483""",Incomplete,"""CID6059557""",Go Mini,Rajiv Chowk,Central Secretariat,9.9,21.6,null,null,null,null,1,Vehicle Breakdown,1581,1.82,null,null,Cash,5/4/2024 9:26:00 PM,21,Saturday,Weekend,May,Valid,0,0,Valid,Valid,Peak
6/3/2024,6:14:47 PM,"""CNR6945858""",Completed,"""CID9079088""",Go Mini,MG Road,Hauz Rani,4.1,25.1,null,null,null,null,null,null,379,33.04,4.2,4.5,Uber Wallet,6/3/2024 6:14:00 PM,18,Monday,Weekday,June,Invalid,4.2,4.5,Invalid,Valid,Peak
10/3/2024,10:20:34 PM,"""CNR6584679""",Completed,"""CID4738537""",Go Mini,Jasola,Palam Vihar,11.2,40.7,null,null,null,null,null,null,545,44.7,4.3,4.3,Cash,10/3/2024 10:20:00 PM,22,Thursday,Weekday,October,Invalid,4.3,4.3,Invalid,Valid,Non-Peak
5/25/2024,11:24:29 AM,"""CNR6125653""",Completed,"""CID2808212""",Go Mini,Kashmere Gate,RK Puram,3,35.4,null,null,null,null,null,null,479,7.38,4.2,4.6,UPI,5/25/2024 11:24:00 AM,11,Saturday,Weekend,May,Invalid,4.2,4.6,Invalid,Valid,Peak
3/4/2024,5:46:46 PM,"""CNR6092529""",Cancelled by Driver,"""CID5040634""",Go Sedan,Ardee City,Basai Dhankot,11.2,null,null,null,1,More than permitted people in there,null,null,0,0,null,null,null,3/4/2024 5:46:00 PM,17,Monday,Weekday,March,Valid,0,0,Valid,Valid,Peak
11/10/2024,5:13:57 AM,"""CNR6339107""",Completed,"""CID7358763""",Go Mini,Punjabi Bagh,Madipur,9.1,23.2,null,null,null,null,null,null,647,24.93,4.3,4.7,Uber Wallet,11/10/2024 5:13:00 AM,5,Sunday,Weekend,November,Invalid,4.3,4.7,Invalid,Valid,Non-Peak
9/11/2024,10:36:44 AM,"""CNR1349015""",Cancelled by Driver,"""CID9386278""",Auto,Meerut,Badarpur,4.3,null,null,null,1,More than permitted people in there,null,null,0,0,null,null,null,9/11/2024 10:36:00 AM,10,Wednesday,Weekday,September,Valid,0,0,Valid,Valid,Peak
4/11/2024,3:43:34 PM,"""CNR9773309""",No Driver Found,"""CID9965847""",Uber XL,Anand Vihar ISBT,Dwarka Sector 21,null,null,null,null,null,null,null,null,0,0,null,null,null,4/11/2024 3:43:00 PM,15,Thursday,Weekday,April,Invalid,0,0,Invalid,Valid,Non-Peak
6/1/2024,10:03:27 AM,"""CNR2107544""",Completed,"""CID1266188""",Premier Sedan,Mayur Vihar,Palam Vihar,11.4,42.1,null,null,null,null,null,null,125,25.16,4.3,5,Credit Card,6/1/2024 10:03:00 AM,10,Saturday,Weekend,June,Invalid,4.3,5,Invalid,Valid,Peak
5/9/2024,10:44:30 AM,"""CNR4171959""",Cancelled by Driver,"""CID8470723""",Premier Sedan,Lajpat Nagar,Ramesh Nagar,6.3,null,null,null,1,Customer related issue,null,null,0,0,null,null,null,5/9/2024 10:44:00 AM,10,Thursday,Weekday,May,Valid,0,0,Valid,Valid,Peak
7/30/2024,12:02:26 PM,"""CNR5316307""",Completed,"""CID1816553""",Premier Sedan,Tughlakabad,Akshardham,12.4,21.5,null,null,null,null,null,null,375,48.85,3.3,3.3,Cash,7/30/2024 12:02:00 PM,12,Tuesday,Weekday,July,Invalid,3.3,3.3,Invalid,Valid,Non-Peak
2/25/2024,4:23:19 PM,"""CNR3635865""",Completed,"""CID6477355""",Auto,Cyber Hub,Yamuna Bank,11.7,33,null,null,null,null,null,null,310,24.41,4.6,3.8,Debit Card,2/25/2024 4:23:00 PM,16,Sunday,Weekend,February,Invalid,4.6,3.8,Invalid,Valid,Non-Peak
2/9/2024,11:15:59 AM,"""CNR2497989""",Cancelled by Customer,"""CID5007066""",Auto,Karkarduma,IGI Airport,16.6,null,1,Driver is not moving towards pickup location,null,null,null,null,0,0,null,null,null,2/9/2024 11:15:00 AM,11,Friday,Weekday,February,Valid,0,0,Valid,Valid,Peak
3/2/2024,4:59:03 AM,"""CNR8946337""",Cancelled by Driver,"""CID6438326""",Go Sedan,Shastri Nagar,New Colony,5.4,null,null,null,1,Customer related issue,null,null,0,0,null,null,null,3/2/2024 4:59:00 AM,4,Saturday,Weekend,March,Valid,0,0,Valid,Valid,Non-Peak
8/27/2024,6:22:02 PM,"""CNR3740694""",Incomplete,"""CID5885514""",Auto,Aya Nagar,Green Park,2.3,10.1,null,null,null,null,1,Vehicle Breakdown,370,13.85,null,null,Cash,8/27/2024 6:22:00 PM,18,Tuesday,Weekday,August,Valid,0,0,Valid,Valid,Peak
3/8/2024,9:28:38 AM,"""CNR4660896""",Cancelled by Driver,"""CID5486947""",Premier Sedan,Dwarka Mor,ITO,5.8,null,null,null,1,More than permitted people in there,null,null,0,0,null,null,null,3/8/2024 9:28:00 AM,9,Friday,Weekday,March,Valid,0,0,Valid,Valid,Peak
3/20/2024,9:59:11 AM,"""CNR2513330""",Cancelled by Driver,"""CID7805280""",Premier Sedan,Adarsh Nagar,Noida Extension,6.7,null,null,null,1,Customer related issue,null,null,0,0,null,null,null,3/20/2024 9:59:00 AM,9,Wednesday,Weekday,March,Valid,0,0,Valid,Valid,Peak
1/25/2024,12:39:21 PM,"""CNR9252424""",Completed,"""CID9413620""",eBike,Vidhan Sabha,Mehrauli,12.1,18.1,null,null,null,null,null,null,291,3.71,3.2,4.3,UPI,1/25/2024 12:39:00 PM,12,Thursday,Weekday,January,Invalid,3.2,4.3,Invalid,Valid,Non-Peak
4/11/2024,11:14:35 AM,"""CNR3096031""",Completed,"""CID3101926""",Auto,Anand Vihar,Saket,5.8,24.3,null,null,null,null,null,null,114,32.98,4.3,4.5,Uber Wallet,4/11/2024 11:14:00 AM,11,Thursday,Weekday,April,Invalid,4.3,4.5,Invalid,Valid,Peak
6/17/2024,8:25:47 PM,"""CNR4141159""",Completed,"""CID6810411""",Go Mini,Uttam Nagar,New Delhi Railway Station,4,44.5,null,null,null,null,null,null,464,11.2,4.5,4.2,Cash,6/17/2024 8:25:00 PM,20,Monday,Weekday,June,Invalid,4.5,4.2,Invalid,Valid,Peak
7/29/2024,7:52:48 PM,"""CNR6757829""",Completed,"""CID8433663""",Go Sedan,Model Town,Mundka,3.4,27.1,null,null,null,null,null,null,160,45.4,4,5,Cash,7/29/2024 7:52:00 PM,19,Monday,Weekday,July,Invalid,4,5,Invalid,Valid,Peak
12/22/2024,10:53:20 AM,"""CNR6204326""",Cancelled by Driver,"""CID9419495""",Auto,Mandi House,India Gate,11.1,null,null,null,1,Personal & Car related issues,null,null,0,0,null,null,null,12/22/2024 10:53:00 AM,10,Sunday,Weekend,December,Valid,0,0,Valid,Valid,Peak
12/21/2024,9:40:00 PM,"""CNR3347993""",Completed,"""CID4871438""",eBike,Ghitorni,Pitampura,9.9,38.5,null,null,null,null,null,null,206,28.78,4.1,3.7,Cash,12/21/2024 9:40:00 PM,21,Saturday,Weekend,December,Invalid,4.1,3.7,Invalid,Valid,Peak
2/23/2024,11:38:09 AM,"""CNR6796311""",Incomplete,"""CID1880505""",Go Mini,Ghitorni Village,Palam Vihar,5.9,17.2,null,null,null,null,1,Customer Demand,217,2.81,null,null,Credit Card,2/23/2024 11:38:00 AM,11,Friday,Weekday,February,Valid,0,0,Valid,Valid,Peak
5/5/2024,9:22:39 PM,"""CNR3908312""",Completed,"""CID8787746""",Bike,Okhla,Netaji Subhash Place,8.1,37.3,null,null,null,null,null,null,633,17.34,4.5,4.9,Credit Card,5/5/2024 9:22:00 PM,21,Sunday,Weekend,May,Invalid,4.5,4.9,Invalid,Valid,Peak
11/8/2024,5:01:10 PM,"""CNR9416323""",Completed,"""CID1025742""",Auto,DLF City Court,Udyog Vihar Phase 4,6.1,28.2,null,null,null,null,null,null,717,9.38,4.2,4.5,UPI,11/8/2024 5:01:00 PM,17,Friday,Weekday,November,Invalid,4.2,4.5,Invalid,Valid,Peak
12/26/2024,9:21:55 PM,"""CNR2912296""",Completed,"""CID8094609""",Go Sedan,Rajiv Nagar,Ramesh Nagar,6,26.7,null,null,null,null,null,null,151,11.9,4.9,4.5,UPI,12/26/2024 9:21:00 PM,21,Thursday,Weekday,December,Invalid,4.9,4.5,Invalid,Valid,Peak
9/5/2024,7:44:18 AM,"""CNR4611314""",Completed,"""CID6968311""",Premier Sedan,Sohna Road,New Delhi Railway Station,5,34.7,null,null,null,null,null,null,512,35.66,3.7,4.9,UPI,9/5/2024 7:44:00 AM,7,Thursday,Weekday,September,Invalid,3.7,4.9,Invalid,Valid,Non-Peak
11/25/2024,8:29:14 AM,"""CNR2601752""",Cancelled by Customer,"""CID9283370""",Go Sedan,Sadar Bazar Gurgaon,Indraprastha,12,null,1,Driver asked to cancel,null,null,null,null,0,0,null,null,null,11/25/2024 8:29:00 AM,8,Monday,Weekday,November,Valid,0,0,Valid,Valid,Peak
8/15/2024,6:40:03 PM,"""CNR5793527""",Cancelled by Driver,"""CID5705499""",Premier Sedan,Anand Vihar ISBT,Rohini,3.2,null,null,null,1,Personal & Car related issues,null,null,0,0,null,null,null,8/15/2024 6:40:00 PM,18,Thursday,Weekday,August,Valid,0,0,Valid,Valid,Peak
2/10/2024,9:17:39 AM,"""CNR4487090""",Completed,"""CID1210782""",Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,null,null,null,null,null,null,1390,21.79,5,4.9,UPI,2/10/2024 9:17:00 AM,9,Saturday,Weekend,February,Invalid,5,4.9,Invalid,Valid,Peak
9/26/2024,11:33:51 AM,"""CNR5266935""",Cancelled by Driver,"""CID2831708""",Premier Sedan,Bahadurgarh,Pataudi Chowk,3.9,null,null,null,1,More than permitted people in there,null,null,0,0,null,null,null,9/26/2024 11:33:00 AM,11,Thursday,Weekday,September,Valid,0,0,Valid,Valid,Peak
7/1/2024,5:39:56 PM,"""CNR1487489""",Completed,"""CID3403699""",Bike,Moolchand,Karol Bagh,3.9,23,null,null,null,null,null,null,224,7.86,4.1,4.2,Cash,7/1/2024 5:39:00 PM,17,Monday,Weekday,July,Invalid,4.1,4.2,Invalid,Valid,Peak
10/19/2024,4:24:50 PM,"""CNR6351034""",Completed,"""CID2038230""",Auto,Uttam Nagar,Vaishali,8.4,31.3,null,null,null,null,null,null,708,18.04,4.6,4.8,UPI,10/19/2024 4:24:00 PM,16,Saturday,Weekend,October,Invalid,4.6,4.8,Invalid,Valid,Non-Peak
2/9/2024,10:51:01 AM,"""CNR7600870""",Completed,"""CID7289498""",Auto,INA Market,IFFCO Chowk,7.7,43.7,null,null,null,null,null,null,153,15.18,4.2,3.6,Uber Wallet,2/9/2024 10:51:00 AM,10,Friday,Weekday,February,Invalid,4.2,3.6,Invalid,Valid,Peak
3/31/2024,12:37:12 PM,"""CNR5444321""",Cancelled by Driver,"""CID3326946""",Bike,Sushant Lok,Noida Sector 62,6.3,null,null,null,1,The customer was coughing/sick,null,null,0,0,null,null,null,3/31/2024 12:37:00 PM,12,Sunday,Weekend,March,Valid,0,0,Valid,Valid,Non-Peak
12/11/2024,5:05:36 PM,"""CNR8509610""",Completed,"""CID8227993""",Bike,IIT Delhi,Mansarovar Park,5,35,null,null,null,null,null,null,72,13.38,4.7,4.2,Cash,12/11/2024 5:05:00 PM,17,Wednesday,Weekday,December,Invalid,4.7,4.2,Invalid,Valid,Peak
